Question,Level,Criteria,Marks,Sample Answer,Source
"How do arteries differ from veins?
",1,"Provides an accurate, complete, or superficial explanation.",1,"Arteries and veins are like highways for blood. Arteries take blood out of the heart, and veins bring it back.",https://commons.libretexts.org/book
,2,Provides a mostly accurate explanation of the differences but may need more details or contain minor inaccuracies.,3,"Arteries and veins are different types of blood vessels. Arteries carry blood away from the heart, while veins carry blood back to the heart. Arteries are thicker and stronger than veins.",https://commons.libretexts.org/book
,3,"Provides a clear, concise, and scientifically accurate explanation of the critical differences between arteries and veins, including their structure, function, and blood flow.",4,"Arteries carry oxygen-rich blood away from the heart, while veins return deoxygenated blood. Arteries have thicker, muscular walls to handle high pressure, while veins have thinner walls and valves to prevent backflow.",https://commons.libretexts.org/book
"Describe the cause of different blood type groups.
",1,"Provides an accurate, complete, or superficial explanation.",1,"Blood types are different colours. You get them from your parents, and they affect how your blood works.",https://commons.libretexts.org/book
,2,Provides a mostly accurate explanation but may need more details or contain minor inaccuracies.,3,"Blood types are determined by proteins in red blood cells. These proteins come from our genes, and different types can be inherited from parents. The combination of these proteins determines your blood type, such as A, B, or O.",https://commons.libretexts.org/book
,3,"Provides a clear, concise, and scientifically accurate explanation of the cause of different blood type groups, including the role of genes and antigens on red blood cells.",4,"Blood types are determined by specific molecules called antigens present on the surface of red blood cells. These antigens are controlled by genes, with different versions (alleles) named A, B, and O. The combination of inherited alleles from parents determines an individual's blood type, resulting in four possible types: A, B, AB, and O.",https://commons.libretexts.org/book
"
How does specialisation benefit the economy?",1,Provides an inaccurate or irrelevant explanation. ,1,"Specialization is something about jobs and the economy, but I'm not sure what the benefits are.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details or use imprecise language.,3,"Specialization is like being good at one thing in a job. If everyone focuses on what they're best at, things get done faster, and we end up with more stuff. A wider variety of things is also available because people can specialise in making different things.",https://commons.libretexts.org/book
,3,"Provides a clear and concise explanation of the benefits of specialisation in the economy, mentioning increased efficiency, productivity, and access to a broader variety of goods and services.",4,"Specialization, where people and businesses focus on specific tasks, benefits the economy in three key ways:
Efficiency Boost: Specialization allows workers to become experts, completing tasks faster and with fewer errors, ultimately producing more with the same effort.
Productivity on Autopilot: Think of a well-oiled machine. The economic system becomes more productive when everyone specialises, generating more goods and services.
Variety Explosion: Specialization fosters a broader range of expertise. Imagine only having one type of shoe! It encourages innovation and the creation of new products and services, offering consumers a wider variety of choices.",https://commons.libretexts.org/book
"Briefly explain the religious and political motivations behind the Crusades.
",1,Provides an inaccurate or irrelevant explanation. ,1,"The Crusades were long ago, and I wonder why they happened.",https://commons.libretexts.org/book
,2,It provides a partially accurate explanation but may need more details on one aspect (religious or political).,3,"The Crusades were holy wars fought by Christians to take back Jerusalem. There were also political reasons, such as kings wanting more land and power.",https://commons.libretexts.org/book
,3,Provides a clear and concise explanation of religious and political motivations behind the Crusades.,4,"The Crusades were fueled by religious fervour and political ambitions. On the spiritual side, Christians aimed to reclaim Jerusalem and the Holy Land from Muslim control. This was seen as a sacred duty and a way to secure salvation. Politically, European leaders saw the Crusades as an opportunity to expand their territories, gain wealth through plunder, and consolidate their power.",https://commons.libretexts.org/book
"What is sovereignty, and why is it a crucial concept in understanding political power?
",1,Provides an inaccurate or irrelevant explanation. ,1,"Sovereignty concerns countries and power, but I need to figure out what exactly.",https://commons.libretexts.org/book
,2,It provides a partially accurate definition or explanation but may need more details.,3,Sovereignty is how independent a country is. Sovereign countries can make their laws and don't have to answer to other countries. This is important to understand how governments work.,https://commons.libretexts.org/book
